Genero,Edad,CCAA,Periodo,Total
Total,Todas las edades,Castilla y León,2019,13
Total,Todas las edades,Castilla y León,2018,10
Total,Todas las edades,Castilla y León,2017,12
Total,Todas las edades,Castilla y León,2016,17
Total,Todas las edades,Castilla y León,2015,9
Total,Todas las edades,Castilla y León,2014,11
Total,Todas las edades,Castilla y León,2013,15
Total,Todas las edades,Castilla y León,2012,9
Total,Todas las edades,Castilla y León,2011,11
Total,Todas las edades,Castilla y León,2010,7
Total,Todas las edades,Castilla y León,2009,13
Total,Todas las edades,Castilla y León,2008,16
Total,Todas las edades,Castilla y León,2007,13
Total,Todas las edades,Castilla y León,2006,12
Total,Todas las edades,Castilla y León,2005,19
Total,Todas las edades,Castilla y León,2004,23
Total,Todas las edades,Castilla y León,2003,13
Total,Todas las edades,Castilla y León,2002,7
Total,Todas las edades,Castilla y León,2001,12
Total,Todas las edades,Castilla y León,2000,16
Total,Todas las edades,Castilla y León,1999,21
Total,Todas las edades,Castilla y León,1998,21
Total,Todas las edades,Castilla y León,1997,14
Total,Todas las edades,Castilla y León,1996,18
Total,Todas las edades,Castilla y León,1995,8
Total,Todas las edades,Castilla y León,1994,13
Total,Todas las edades,Castilla y León,1993,23
Total,Todas las edades,Castilla y León,1992,25
Total,Todas las edades,Castilla y León,1991,19
Total,Todas las edades,Castilla y León,1990,23
Total,Todas las edades,Castilla y León,1989,15
Total,Todas las edades,Castilla y León,1988,16
Total,Todas las edades,Castilla y León,1987,19
Total,Todas las edades,Castilla y León,1986,13
Total,Todas las edades,Castilla y León,1985,20
Total,Todas las edades,Castilla y León,1984,28
Total,Todas las edades,Castilla y León,1983,18
Total,Todas las edades,Castilla y León,1982,15
Total,Todas las edades,Castilla y León,1981,27
Total,Todas las edades,Castilla y León,1980,19
Total,Todas las edades,Castilla - La Mancha,2022,14
Total,Todas las edades,Castilla - La Mancha,2021,8
Total,Todas las edades,Castilla - La Mancha,2020,11
Total,Todas las edades,Castilla - La Mancha,2019,8
Total,Todas las edades,Castilla - La Mancha,2018,9
Total,Todas las edades,Castilla - La Mancha,2017,12
Total,Todas las edades,Castilla - La Mancha,2016,9
Total,Todas las edades,Castilla - La Mancha,2015,10
Total,Todas las edades,Castilla - La Mancha,2014,9
Total,Todas las edades,Castilla - La Mancha,2013,6
Total,Todas las edades,Castilla - La Mancha,2012,3
Total,Todas las edades,Castilla - La Mancha,2011,11
Total,Todas las edades,Castilla - La Mancha,2010,5
Total,Todas las edades,Castilla - La Mancha,2009,7
Total,Todas las edades,Castilla - La Mancha,2008,9
Total,Todas las edades,Castilla - La Mancha,2007,18
Total,Todas las edades,Castilla - La Mancha,2006,4
Total,Todas las edades,Castilla - La Mancha,2005,25
Total,Todas las edades,Castilla - La Mancha,2004,8
Total,Todas las edades,Castilla - La Mancha,2003,10
Total,Todas las edades,Castilla - La Mancha,2002,8
Total,Todas las edades,Castilla - La Mancha,2001,5
Total,Todas las edades,Castilla - La Mancha,2000,7
Total,Todas las edades,Castilla - La Mancha,1999,14
Total,Todas las edades,Castilla - La Mancha,1998,6
Total,Todas las edades,Castilla - La Mancha,1997,8
Total,Todas las edades,Castilla - La Mancha,1996,12
Total,Todas las edades,Castilla - La Mancha,1995,6
Total,Todas las edades,Castilla - La Mancha,1994,9
Total,Todas las edades,Castilla - La Mancha,1993,7
Total,Todas las edades,Castilla - La Mancha,1992,5
Total,Todas las edades,Castilla - La Mancha,1991,15
Total,Todas las edades,Castilla - La Mancha,1990,15
Total,Todas las edades,Castilla - La Mancha,1989,14
Total,Todas las edades,Castilla - La Mancha,1988,7
Total,Todas las edades,Castilla - La Mancha,1987,10
Total,Todas las edades,Castilla - La Mancha,1986,13
Total,Todas las edades,Castilla - La Mancha,1985,19
Total,Todas las edades,Castilla - La Mancha,1984,13
Total,Todas las edades,Castilla - La Mancha,1983,13
Total,Todas las edades,Castilla - La Mancha,1982,12
Total,Todas las edades,Castilla - La Mancha,1981,19
Total,Todas las edades,Castilla - La Mancha,1980,21
Total,Todas las edades,Cataluña,2022,46
Total,Todas las edades,Cataluña,2021,39
Total,Todas las edades,Cataluña,2020,34
Total,Todas las edades,Cataluña,2019,29
Total,Todas las edades,Cataluña,2018,23
Total,Todas las edades,Cataluña,2017,20
Total,Todas las edades,Cataluña,2016,28
Total,Todas las edades,Cataluña,2015,22
Total,Todas las edades,Cataluña,2014,27
Total,Todas las edades,Cataluña,2013,22
Total,Todas las edades,Cataluña,2012,36
Total,Todas las edades,Cataluña,2011,16
Total,Todas las edades,Cataluña,2010,18
Total,Todas las edades,Cataluña,2009,20
Total,Todas las edades,Cataluña,2008,16
Total,Todas las edades,Cataluña,2007,10
Total,Todas las edades,Cataluña,2006,9
Total,Todas las edades,Cataluña,2005,20
Total,Todas las edades,Cataluña,2004,28
Total,Todas las edades,Cataluña,2003,29
Total,Todas las edades,Cataluña,2002,29
Total,Todas las edades,Cataluña,2001,35
Total,Todas las edades,Cataluña,2000,23
Total,Todas las edades,Cataluña,1999,28
Total,Todas las edades,Cataluña,1998,25
Total,Todas las edades,Cataluña,1997,27
Total,Todas las edades,Cataluña,1996,26
Total,Todas las edades,Cataluña,1995,22
Total,Todas las edades,Cataluña,1994,45
Total,Todas las edades,Cataluña,1993,41
Total,Todas las edades,Cataluña,1992,34
Total,Todas las edades,Cataluña,1991,31
Total,Todas las edades,Cataluña,1990,41
Total,Todas las edades,Cataluña,1989,37
Total,Todas las edades,Cataluña,1988,37
Total,Todas las edades,Cataluña,1987,24
Total,Todas las edades,Cataluña,1986,22
Total,Todas las edades,Cataluña,1985,31
Total,Todas las edades,Cataluña,1984,34
Total,Todas las edades,Cataluña,1983,50
Total,Todas las edades,Cataluña,1982,22
Total,Todas las edades,Cataluña,1981,32
Total,Todas las edades,Cataluña,1980,44
Total,Todas las edades,Comunitat Valenciana,2022,43
Total,Todas las edades,Comunitat Valenciana,2021,23
Total,Todas las edades,Comunitat Valenciana,2020,19
Total,Todas las edades,Comunitat Valenciana,2019,32
Total,Todas las edades,Comunitat Valenciana,2018,17
Total,Todas las edades,Comunitat Valenciana,2017,34
Total,Todas las edades,Comunitat Valenciana,2016,26
Total,Todas las edades,Comunitat Valenciana,2015,21
Total,Todas las edades,Comunitat Valenciana,2014,26
Total,Todas las edades,Comunitat Valenciana,2013,21
Total,Todas las edades,Comunitat Valenciana,2012,23
Total,Todas las edades,Comunitat Valenciana,2011,15
Total,Todas las edades,Comunitat Valenciana,2010,30
Total,Todas las edades,Comunitat Valenciana,2009,20
Total,Todas las edades,Comunitat Valenciana,2008,28
Total,Todas las edades,Comunitat Valenciana,2007,28
Total,Todas las edades,Comunitat Valenciana,2006,37
Total,Todas las edades,Comunitat Valenciana,2005,35
Total,Todas las edades,Comunitat Valenciana,2004,23
Total,Todas las edades,Comunitat Valenciana,2003,22
Total,Todas las edades,Comunitat Valenciana,2002,19
Total,Todas las edades,Comunitat Valenciana,2001,22
Total,Todas las edades,Comunitat Valenciana,2000,29
Total,Todas las edades,Comunitat Valenciana,1999,21
Total,Todas las edades,Comunitat Valenciana,1998,18
Total,Todas las edades,Comunitat Valenciana,1997,34
Total,Todas las edades,Comunitat Valenciana,1996,13
Total,Todas las edades,Comunitat Valenciana,1995,11
Total,Todas las edades,Comunitat Valenciana,1994,33
Total,Todas las edades,Comunitat Valenciana,1993,27
Total,Todas las edades,Comunitat Valenciana,1992,24
Total,Todas las edades,Comunitat Valenciana,1991,13
Total,Todas las edades,Comunitat Valenciana,1990,14
Total,Todas las edades,Comunitat Valenciana,1989,17
Total,Todas las edades,Comunitat Valenciana,1988,18
Total,Todas las edades,Comunitat Valenciana,1987,18
Total,Todas las edades,Comunitat Valenciana,1986,18
Total,Todas las edades,Comunitat Valenciana,1985,20
Total,Todas las edades,Comunitat Valenciana,1984,21
Total,Todas las edades,Comunitat Valenciana,1983,26
Total,Todas las edades,Comunitat Valenciana,1982,14
Total,Todas las edades,Comunitat Valenciana,1981,29
Total,Todas las edades,Comunitat Valenciana,1980,34
Total,Todas las edades,Extremadura,2022,10
Total,Todas las edades,Extremadura,2021,8
Total,Todas las edades,Extremadura,2020,7
Total,Todas las edades,Extremadura,2019,5
Total,Todas las edades,Extremadura,2018,2
Total,Todas las edades,Extremadura,2017,1
Total,Todas las edades,Extremadura,2016,6
Total,Todas las edades,Extremadura,2015,8
Total,Todas las edades,Extremadura,2014,7
Total,Todas las edades,Extremadura,2013,4
Total,Todas las edades,Extremadura,2012,4
Total,Todas las edades,Extremadura,2011,2
Total,Todas las edades,Extremadura,2010,4
Total,Todas las edades,Extremadura,2009,5
Total,Todas las edades,Extremadura,2008,2
Total,Todas las edades,Extremadura,2007,5
Total,Todas las edades,Extremadura,2006,6
Total,Todas las edades,Extremadura,2005,3
Total,Todas las edades,Extremadura,2004,2
Total,Todas las edades,Extremadura,2003,4
Total,Todas las edades,Extremadura,2002,6
Total,Todas las edades,Extremadura,2001,3
Total,Todas las edades,Extremadura,2000,2
Total,Todas las edades,Extremadura,1999,0
Total,Todas las edades,Extremadura,1998,7
Total,Todas las edades,Extremadura,1997,6
Total,Todas las edades,Extremadura,1996,3
Total,Todas las edades,Extremadura,1995,3
Total,Todas las edades,Extremadura,1994,4
Total,Todas las edades,Extremadura,1993,4
Total,Todas las edades,Extremadura,1992,5
Total,Todas las edades,Extremadura,1991,11
Total,Todas las edades,Extremadura,1990,3
Total,Todas las edades,Extremadura,1989,8
Total,Todas las edades,Extremadura,1988,8
Total,Todas las edades,Extremadura,1987,10
Total,Todas las edades,Extremadura,1986,11
Total,Todas las edades,Extremadura,1985,3
Total,Todas las edades,Extremadura,1984,10
Total,Todas las edades,Extremadura,1983,9
Total,Todas las edades,Extremadura,1982,8
Total,Todas las edades,Extremadura,1981,7
Total,Todas las edades,Extremadura,1980,8
Total,Todas las edades,Galicia,2022,21
Total,Todas las edades,Galicia,2021,13
Total,Todas las edades,Galicia,2020,10
Total,Todas las edades,Galicia,2019,22
Total,Todas las edades,Galicia,2018,11
Total,Todas las edades,Galicia,2017,14
Total,Todas las edades,Galicia,2016,12
Total,Todas las edades,Galicia,2015,19
Total,Todas las edades,Galicia,2014,6
Total,Todas las edades,Galicia,2013,9
Total,Todas las edades,Galicia,2012,17
Total,Todas las edades,Galicia,2011,12
Total,Todas las edades,Galicia,2010,16
Total,Todas las edades,Galicia,2009,21
Total,Todas las edades,Galicia,2008,34
Total,Todas las edades,Galicia,2007,14
Total,Todas las edades,Galicia,2006,29
Total,Todas las edades,Galicia,2005,18
Total,Todas las edades,Galicia,2004,23
Total,Todas las edades,Galicia,2003,24
Total,Todas las edades,Galicia,2002,16
Total,Todas las edades,Galicia,2001,15
Total,Todas las edades,Galicia,2000,28
Total,Todas las edades,Galicia,1999,23
Total,Todas las edades,Galicia,1998,25
Total,Todas las edades,Galicia,1997,32
Total,Todas las edades,Galicia,1996,22
Total,Todas las edades,Galicia,1995,21
Total,Todas las edades,Galicia,1994,34
Total,Todas las edades,Galicia,1993,18
Total,Todas las edades,Galicia,1992,39
Total,Todas las edades,Galicia,1991,32
Total,Todas las edades,Galicia,1990,32
Total,Todas las edades,Galicia,1989,41
Total,Todas las edades,Galicia,1988,16
Total,Todas las edades,Galicia,1987,26
Total,Todas las edades,Galicia,1986,32
Total,Todas las edades,Galicia,1985,32
Total,Todas las edades,Galicia,1984,31
Total,Todas las edades,Galicia,1983,34
Total,Todas las edades,Galicia,1982,29
Total,Todas las edades,Galicia,1981,24
Total,Todas las edades,Galicia,1980,28
Total,Todas las edades,Comunidad de Madrid,2022,21
Total,Todas las edades,Comunidad de Madrid,2021,9
Total,Todas las edades,Comunidad de Madrid,2020,17
Total,Todas las edades,Comunidad de Madrid,2019,14
Total,Todas las edades,Comunidad de Madrid,2018,16
Total,Todas las edades,Comunidad de Madrid,2017,9
Total,Todas las edades,Comunidad de Madrid,2016,6
Total,Todas las edades,Comunidad de Madrid,2015,5
Total,Todas las edades,Comunidad de Madrid,2014,16
Total,Todas las edades,Comunidad de Madrid,2013,10
Total,Todas las edades,Comunidad de Madrid,2012,3
Total,Todas las edades,Comunidad de Madrid,2011,7
Total,Todas las edades,Comunidad de Madrid,2010,6
Total,Todas las edades,Comunidad de Madrid,2009,12
Total,Todas las edades,Comunidad de Madrid,2008,15
Total,Todas las edades,Comunidad de Madrid,2007,14
Total,Todas las edades,Comunidad de Madrid,2006,9
Total,Todas las edades,Comunidad de Madrid,2005,10
Total,Todas las edades,Comunidad de Madrid,2004,11
Total,Todas las edades,Comunidad de Madrid,2003,19
Total,Todas las edades,Comunidad de Madrid,2002,14
Total,Todas las edades,Comunidad de Madrid,2001,20
Total,Todas las edades,Comunidad de Madrid,2000,15
Total,Todas las edades,Comunidad de Madrid,1999,14
Total,Todas las edades,Comunidad de Madrid,1998,10
Total,Todas las edades,Comunidad de Madrid,1997,17
Total,Todas las edades,Comunidad de Madrid,1996,14
Total,Todas las edades,Comunidad de Madrid,1995,12
Total,Todas las edades,Comunidad de Madrid,1994,14
Total,Todas las edades,Comunidad de Madrid,1993,24
Total,Todas las edades,Comunidad de Madrid,1992,36
Total,Todas las edades,Comunidad de Madrid,1991,38
Total,Todas las edades,Comunidad de Madrid,1990,22
Total,Todas las edades,Comunidad de Madrid,1989,17
Total,Todas las edades,Comunidad de Madrid,1988,20
Total,Todas las edades,Comunidad de Madrid,1987,24
Total,Todas las edades,Comunidad de Madrid,1986,5
Total,Todas las edades,Comunidad de Madrid,1985,32
Total,Todas las edades,Comunidad de Madrid,1984,40
Total,Todas las edades,Comunidad de Madrid,1983,107
Total,Todas las edades,Comunidad de Madrid,1982,30
Total,Todas las edades,Comunidad de Madrid,1981,37
Total,Todas las edades,Comunidad de Madrid,1980,45
Total,Todas las edades,Región de Murcia,2022,11
Total,Todas las edades,Región de Murcia,2021,9
Total,Todas las edades,Región de Murcia,2020,8
Total,Todas las edades,Región de Murcia,2019,7
Total,Todas las edades,Región de Murcia,2018,5
Total,Todas las edades,Región de Murcia,2017,7
Total,Todas las edades,Región de Murcia,2016,6
Total,Todas las edades,Región de Murcia,2015,5
Total,Todas las edades,Región de Murcia,2014,3
Total,Todas las edades,Región de Murcia,2013,11
Total,Todas las edades,Región de Murcia,2012,1
Total,Todas las edades,Región de Murcia,2011,6
Total,Todas las edades,Región de Murcia,2010,5
Total,Todas las edades,Región de Murcia,2009,6
Total,Todas las edades,Región de Murcia,2008,3
Total,Todas las edades,Región de Murcia,2007,2
Total,Todas las edades,Región de Murcia,2006,7
Total,Todas las edades,Región de Murcia,2005,2
Total,Todas las edades,Región de Murcia,2004,8
Total,Todas las edades,Región de Murcia,2003,11
Total,Todas las edades,Región de Murcia,2002,7
Total,Todas las edades,Región de Murcia,2001,7
Total,Todas las edades,Región de Murcia,2000,7
Total,Todas las edades,Región de Murcia,1999,7
Total,Todas las edades,Región de Murcia,1998,6
Total,Todas las edades,Región de Murcia,1997,7
Total,Todas las edades,Región de Murcia,1996,5
Total,Todas las edades,Región de Murcia,1995,10
Total,Todas las edades,Región de Murcia,1994,7
Total,Todas las edades,Región de Murcia,1993,6
Total,Todas las edades,Región de Murcia,1992,10
Total,Todas las edades,Región de Murcia,1991,10
Total,Todas las edades,Región de Murcia,1990,1
Total,Todas las edades,Región de Murcia,1989,10
Total,Todas las edades,Región de Murcia,1988,5
Total,Todas las edades,Región de Murcia,1987,6
Total,Todas las edades,Región de Murcia,1986,8
Total,Todas las edades,Región de Murcia,1985,5
Total,Todas las edades,Región de Murcia,1984,7
Total,Todas las edades,Región de Murcia,1983,9
Total,Todas las edades,Región de Murcia,1982,6
Total,Todas las edades,Región de Murcia,1981,6
Total,Todas las edades,Región de Murcia,1980,15
Total,Todas las edades,Comunidad Foral de Navarra,2022,3
Total,Todas las edades,Comunidad Foral de Navarra,2021,3
Total,Todas las edades,Comunidad Foral de Navarra,2020,3
Total,Todas las edades,Comunidad Foral de Navarra,2019,0
Total,Todas las edades,Comunidad Foral de Navarra,2018,3
Total,Todas las edades,Comunidad Foral de Navarra,2017,0
Total,Todas las edades,Comunidad Foral de Navarra,2016,2
Total,Todas las edades,Comunidad Foral de Navarra,2015,2
Total,Todas las edades,Comunidad Foral de Navarra,2014,0
Total,Todas las edades,Comunidad Foral de Navarra,2013,1
Total,Todas las edades,Comunidad Foral de Navarra,2012,1
Total,Todas las edades,Comunidad Foral de Navarra,2011,4
Total,Todas las edades,Comunidad Foral de Navarra,2010,1
Total,Todas las edades,Comunidad Foral de Navarra,2009,3
